Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count,Developer,Rating
20.0,2015.0,0.0,229.0,0.0,0.0,0.01,0.0,0.01,64.0,30.0,55.6,1064.8,5.6
15.0,1995.0,0.0,458.0,0.0,0.0,0.13,0.01,0.14,76.8,11.4,20.8,1025.6,6.4
4.0,2007.0,3.0,464.0,0.0,0.0,0.05,0.0,0.05,60.6,19.8,4.8,1037.0,2.4
4.0,2008.0,11.0,569.0,0.09,0.0,0.0,0.01,0.09,57.0,5.0,22.2,1281.0,1.0
7.0,2005.0,8.0,528.0,0.04,0.01,0.0,0.0,0.05,72.0,8.0,5.0,1195.0,5.0
11.0,1983.0,4.0,361.0,0.51,0.12,0.45,0.02,1.1,69.8,32.8,146.0,686.6,2.8
28.0,2006.0,7.0,349.0,0.12,0.0,0.03,0.01,0.16,75.0,33.0,49.0,1058.0,7.0
17.0,2011.0,10.0,139.0,0.78,0.0,0.0,0.05,0.83,82.0,17.0,41.0,449.0,1.0
16.0,2005.0,7.0,467.0,0.06,0.04,0.47,0.01,0.58,58.0,23.0,35.0,1365.0,2.0
27.0,2015.0,8.0,361.0,1.54,1.18,1.46,0.26,4.43,81.0,88.0,1184.0,1020.0,2.0
26.0,2010.0,3.0,528.0,0.12,0.0,0.0,0.01,0.13,48.8,15.8,13.8,867.0,1.0
29.0,2006.0,0.0,139.0,0.42,0.11,0.0,0.02,0.55,67.2,38.2,24.8,531.2,5.6
26.0,2009.0,7.0,432.0,0.32,0.12,0.11,0.04,0.6,81.0,58.0,101.0,1584.0,7.0
28.0,2007.0,8.0,548.0,0.07,0.01,0.0,0.01,0.09,66.0,43.0,16.0,1492.0,5.0
26.0,2011.0,10.0,448.0,0.05,0.08,0.0,0.01,0.14,65.0,15.0,4.0,1289.0,1.0
29.0,2002.0,4.0,244.0,0.04,0.01,0.0,0.0,0.05,62.6,19.8,11.0,965.0,3.0
16.0,2001.0,6.0,53.0,0.16,0.13,0.0,0.04,0.34,69.0,16.0,6.0,1092.0,1.0
